Title,CDID,Unit,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed: Aged 35-49: UK: Female: 000s: SA,YCGU,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: South East (GOR): Aged 16-64: All: %: SA,LF3J,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployment rate: Aged 35-49: UK: Female: %: SA,YCGX,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: London: Aged 16-64: All: %: SA,LF3I,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployment rate: Aged 35-49: UK: Male: %: SA,YCGW,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: North East: Aged 16-64: All: %: SA,LF3P,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: Great Britain: Aged 16-64: All: %: SA,LF3O,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inact. rate: Aged 16-17: Not in full-time educ.: UK: Female: %: SA,AIYY,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: Scotland: Aged 16-64: All: %: SA,LF3N,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inact. rate: Aged 18-24: Not in full-time educ.: UK: Female: %: SA,AIYZ,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: Wales: Aged 16-64: All: %: SA,LF3M,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,AIYW,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: West Midlands: Aged 16-64: All: %: SA,LF3T,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: North West (GOR): Aged 16-64: Female: %: SA,LF45,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed: Aged 25-34: UK: Male: 000s: SA,YCGN,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,AIYX,%,,,,,,,,,,,,,,,,,,,
Economically inactive: total by nationality (16-64): EU (EU27) national: %,DZ36,,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: East Midlands: Aged 16-64: All: %: SA,LF3S,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: North East: Aged 16-64: Female: %: SA,LF44,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed: Aged 25-34: UK: All: 000s: SA,YCGM,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,AIYU,%,,,,,,,,,,,,,,,,,,,
